iter	Passed	Remaining
0	229	114601
1	279	69695
2	336	55817
3	387	48059
4	446	44158
5	503	41456
6	595	41909
7	675	41532
8	747	40760
9	813	39877
10	879	39110
11	930	37844
12	985	36918
13	1035	35950
14	1088	35202
15	1139	34462
16	1192	33894
17	1246	33372
18	1300	32919
19	1360	32655
20	1414	32274
21	1450	31505
22	1501	31146
23	1548	30708
24	1600	30405
25	1651	30102
26	1698	29747
27	1743	29384
28	1788	29052
29	1834	28739
30	1879	28432
31	1926	28171
32	1974	27943
33	2023	27727
34	2071	27517
35	2118	27298
36	2163	27077
37	2207	26843
38	2254	26647
39	2300	26452
40	2347	26284
41	2392	26084
42	2437	25906
43	2483	25739
44	2528	25563
45	2576	25426
46	2621	25264
47	2670	25142
48	2719	25025
49	2766	24898
50	2817	24807
51	2865	24689
52	2913	24575
53	2960	24453
54	3006	24328
55	3061	24272
56	3085	23983
57	3138	23920
58	3290	24596
59	3345	24531
60	3411	24553
61	3464	24473
62	3515	24383
63	3571	24328
64	3661	24503
65	3739	24587
66	3794	24522
67	3852	24477
68	3904	24387
69	3957	24309
70	3994	24132
71	4048	24065
72	4106	24019
73	4172	24022
74	4242	24039
75	4283	23896
76	4339	23840
77	4399	23804
78	4452	23726
79	4506	23658
80	4574	23662
81	4651	23709
82	4719	23708
83	4789	23719
84	4855	23706
85	4906	23619
86	4954	23519
87	5008	23449
88	5056	23349
89	5102	23245
90	5150	23148
91	5167	22914
92	5187	22701
93	5237	22623
94	5289	22551
95	5341	22479
96	5395	22415
97	5453	22368
98	5504	22294
99	5550	22203
100	5599	22122
101	5647	22035
102	5695	21954
103	5774	21985
104	5834	21948
105	5870	21818
106	5931	21785
107	5971	21675
108	6021	21599
109	6099	21623
110	6154	21567
111	6203	21490
112	6250	21405
113	6294	21312
114	6328	21185
115	6347	21012
116	6394	20931
117	6442	20855
118	6487	20772
119	6533	20688
120	6580	20610
121	6625	20527
122	6671	20447
123	6719	20374
124	6763	20289
125	6812	20219
126	6858	20143
127	6910	20082
128	6958	20013
129	7005	19939
130	7051	19862
131	7098	19789
132	7142	19709
133	7189	19638
134	7235	19561
135	7278	19482
136	7325	19409
137	7371	19337
138	7417	19264
139	7459	19181
140	7495	19085
141	7550	19034
142	7598	18970
143	7646	18903
144	7694	18837
145	7739	18765
146	7784	18694
147	7831	18625
148	7880	18563
149	7925	18493
150	7975	18432
